Action,Application,Attribute Name,Attribute Value,Date,Source,Target
Create,,,,"6/5/23, 10:25 PM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"6/5/23, 10:25 PM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"6/5/23, 10:25 PM",spadmin,Workflow:DHG Workflow Process ABX Termination Subprocess
Create,,,,"6/5/23, 10:30 PM",Services,Rule:CMS Delete Objects
Create,,,,"6/5/23, 10:30 PM",Services,Workflow:Workflow - CMS - Bulk Delete Objects
Create,,,,"6/6/23, 6:51 PM",spadmin,TaskSchedule:LS SCX HFM Account Aggregation
Create,,,,"6/6/23, 6:51 PM",spadmin,TaskSchedule:LS MOL HFM Account Aggregation
Create,,,,"6/6/23, 6:52 PM",spadmin,TaskSchedule:LS PHX HFM Account Aggregation
Create,,,,"6/6/23, 6:53 PM",spadmin,TaskSchedule:LS ABX Oracle 12 Account Aggregation
Create,,,,"6/6/23, 6:54 PM",spadmin,TaskSchedule:LS ABX Oracle 12 Group Aggregation
Create,,,,"6/6/23, 6:54 PM",spadmin,TaskSchedule:LS PHX HFM Account Aggregation
Create,,,,"6/7/23, 9:00 AM",odd303,TaskDefinition:DHG Access Request Status Report Task - HFM
Create,,,,"6/7/23, 11:08 AM",odd303,TaskDefinition:Application Account Summery Report - Soumtira
Create,,,,"6/7/23, 11:09 AM",odd303,TaskDefinition:Account Attribute live report - soumitra
Create,,,,"6/7/23, 12:57 PM",lxe652,TaskDefinition:Access Request Detail Report
Create,,,,"6/7/23, 1:25 PM",odd303,TaskDefinition:Identity Entitlement Report -  HFM
Create,,,,"6/7/23, 1:45 PM",lxe652,TaskDefinition:User Account Report - Oracle R12
Create,,,,"6/7/23, 2:04 PM",lxe652,TaskDefinition:Identity Entitlements Detail Report - HFM
Create,,,,"6/8/23, 3:23 AM",spadmin,Rule:DHG Rule IdentityAttribute Country
Create,,,,"6/8/23, 3:28 AM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"6/8/23, 3:28 AM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"6/8/23, 3:28 AM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"6/8/23, 3:28 AM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"6/8/23, 3:28 AM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"6/8/23, 8:36 AM",pfh245,TaskDefinition:LS HFM Account Identities and Entitlement Report
Create,,,,"6/8/23, 9:46 AM",pfh245,"TaskSchedule:LS HFM Manager Certification [DATE] [6/8/23, 1:46 PM]"
Create,,,,"6/8/23, 2:03 PM",pfh245,TaskDefinition:Oracle R12 Accounts & Entitlements Report
Create,,,,"6/8/23, 2:06 PM",pfh245,TaskDefinition:Oracle R12 User Account Report
Create,,,,"6/8/23, 2:10 PM",pfh245,TaskDefinition:Oracle R12 User Account Report (6/8/2023)
Create,,,,"6/8/23, 4:54 PM",pfh245,TaskDefinition:LS HFM Application Workgroups
Create,,,,"6/8/23, 5:56 PM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"6/8/23, 5:56 PM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"6/8/23, 5:56 PM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"6/8/23, 5:56 PM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"6/8/23, 5:56 PM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"6/13/23, 11:25 AM",odd303,TaskDefinition:Access Request Status Report - soumitra
Create,,,,"6/12/23, 3:22 PM",spadmin,Rule:DHG Rule IdentityFilterGenerator Manager Filter
Create,,,,"6/12/23, 3:25 PM",spadmin,TaskDefinition:LS HFM Full AccountAggregation Sequential Task
Create,,,,"6/12/23, 3:25 PM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"6/12/23, 3:25 PM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"6/12/23, 3:25 PM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"6/12/23, 3:25 PM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"6/12/23, 3:25 PM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"6/13/23, 6:02 PM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"6/13/23, 6:02 PM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"6/13/23, 6:02 PM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"6/13/23, 6:02 PM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"6/13/23, 6:02 PM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"6/13/23, 8:53 PM",eej316,TaskDefinition:Oracle R12 User Account Report (6/14)
Create,,,,"6/16/23, 5:48 AM",odd303,TaskSchedule:LS HFM Full AccountAggregation Sequential Task
Create,,,,"6/15/23, 3:22 PM",spadmin,Rule:LS ABX Rule BeforeProvisioning OracleR12 Update Account
Create,,,,"6/15/23, 3:24 PM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"6/15/23, 3:24 PM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"6/15/23, 3:24 PM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"6/15/23, 3:24 PM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"6/15/23, 3:24 PM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"6/20/23, 5:31 AM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"6/20/23, 5:31 AM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"6/20/23, 5:31 AM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"6/20/23, 5:31 AM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"6/20/23, 5:31 AM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"6/20/23, 2:34 PM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"6/20/23, 2:34 PM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"6/20/23, 2:34 PM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"6/20/23, 2:34 PM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"6/20/23, 2:34 PM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"5/12/23, 10:18 AM",obz770,TaskDefinition:Identity Request Status_USR_0510
Create,,,,"5/15/23, 4:43 PM",eej316,Application:SIEM Application
Create,,,,"5/15/23, 4:43 PM",eej316,Rule:SIEM Group Membership Exclusion Rule
Create,,,,"5/15/23, 4:43 PM",eej316,Workflow:SIEM Provisioning Approval Workflow
Create,,,,"5/15/23, 4:43 PM",eej316,Workflow:SIEM Provisioning Workflow
Create,,,,"5/15/23, 4:43 PM",eej316,Workflow:SIEM Remove Exclusion Rule
Create,,,,"5/15/23, 4:43 PM",eej316,Capability:SIEMPluginAdministrator
Create,,,,"5/15/23, 4:43 PM",eej316,Capability:SIEMEXTPluginAdministrator
Create,,,,"5/18/23, 3:57 AM",lxe652,TaskDefinition:DHG Report User Account Details
Create,,,,"5/31/23, 8:06 PM",obz770,TaskDefinition:LS ABX OracleR12 Identity Entitlement Report_05312023
Create,,,,"5/31/23, 10:18 PM",odd303,TaskDefinition:DHG AD Sheet Generator
Create,,,,"6/2/23, 4:10 PM",obz770,TaskDefinition:LS HFM Account Group Report_0602
Create,,,,"6/16/23, 6:32 PM",tip542,"TaskSchedule:LS SCX HFM Manager Certification Q2 [6/16/23, 10:32 PM]"
Create,,,,"6/16/23, 7:15 PM",tip542,"TaskSchedule:LS PHX HFM Manager Certification Q2 [6/16/23, 11:15 PM]"
Create,,,,"6/16/23, 7:31 PM",tip542,"TaskSchedule:LS MOL HFM Manager Certification Q2 [6/16/23, 11:31 PM]"
Create,,,,"6/22/23, 12:29 PM",tip542,TaskDefinition:Test
Create,,,,"6/23/23, 8:33 AM",dgv496,TaskDefinition:LS HFM Certification Report
Create,,,,"6/2/23, 3:09 PM",Unknown,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"6/5/23, 10:09 PM",Unknown,TaskSchedule:DHG Workday Full Aggregation and Refresh Sequential Task
Create,,,,"5/23/23, 10:58 AM",odd303,TaskDefinition:LS ALD Rule AfterProvisioning Process Zendesk
Create,,,,"6/12/23, 5:39 PM",pfh245,TaskDefinition:LS ABX Oracle R12 Identities and Entitlement Report (6/12)
Create,,,,"6/13/23, 12:14 PM",pfh245,TaskDefinition:Oracle R12 User Account Report (6/13)
Create,,,,"6/13/23, 2:20 PM",pfh245,TaskDefinition:Oracle R12 Access Request Status Report (6/13/23)
Create,,,,"6/14/23, 9:38 AM",pfh245,"TaskSchedule:LS Oracle R12 Manager Certification [DATE] [6/14/23, 1:38 PM]"
Create,,,,"6/14/23, 9:51 AM",pfh245,"TaskSchedule:LS Oracle R12  Manager Certification - Umesh [DATE] [6/14/23, 1:51 PM]"
Create,,,,"6/14/23, 9:52 AM",pfh245,"TaskSchedule:LS Oracle R12 Manager Certification - Umesh [DATE] [6/14/23, 1:52 PM]"
Create,,,,"6/14/23, 9:54 AM",pfh245,"TaskSchedule:LS Oracle R12 Manager Certification - Trupti [DATE] [6/14/23, 1:54 PM]"
Create,,,,"6/14/23, 9:55 AM",pfh245,"TaskSchedule:LS Oracle R12 Manager Certification - Chris [DATE] [6/14/23, 1:55 PM]"
Create,,,,"6/14/23, 9:56 AM",pfh245,"TaskSchedule:LS Oracle R12 Manager Certification - Chris [DATE] [6/14/23, 1:56 PM]"
Create,,,,"6/14/23, 9:59 AM",pfh245,"TaskSchedule:LS Oracle R12 Manager Certification - Priya [DATE] [6/14/23, 1:59 PM]"
Create,,,,"6/14/23, 10:00 AM",pfh245,"TaskSchedule:LS Oracle R12 Manager Certification - Gregory [DATE] [6/14/23, 2:00 PM]"
Create,,,,"6/14/23, 10:02 AM",pfh245,"TaskSchedule:LS Oracle R12 Manager Certification - Peter [DATE] [6/14/23, 2:02 PM]"
Create,,,,"6/15/23, 9:52 AM",pfh245,"TaskSchedule:LS Oracle R12 Manager Certification - Trupti [DATE] [6/15/23, 1:52 PM]"
Create,,,,"6/15/23, 9:52 AM",pfh245,"TaskSchedule:LS Oracle R12 Manager Certification - Trupti [DATE] [6/15/23, 1:52 PM]"
Create,,,,"6/15/23, 9:53 AM",pfh245,"TaskSchedule:LS Oracle R12 Manager Certification - Trupti [DATE] [6/15/23, 1:53 PM]"
